ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR
71,20,SAN BLAS - CANILLEJAS,206,REJAS,CALLE NANCLARES DE OCA,5,APARCAMIENTO,2,CHAdeMO,3,IBERDROLA
71,,,,,,,,,Dual_Mennekes,,
72,18,VILLA DE VALLECAS,181,CASCO HISTÓRICO DE VALLECAS,AVENIDA EJE CENTRAL,7,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,NATURGY
72,,,,,,,,,Dual_Mennekes,,
73,1,CENTRO,14,JUSTICIA,CALLE GÉNOVA,24,VÍA PÚBLICA,1,CHAdeMO,3,GIC
73,,,,,,,,,Dual_Mennekes,,
74,6,TETUÁN,64,ALMENARA,CALLE SAN AQUILINO,1,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
75,5,CHAMARTÍN,52,PROSPERIDAD,AVENIDA DE AMÉRICA,9,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
76,18,VILLA DE VALLECAS,198,CASCO HISTÓRICO DE VALLECAS,APARCAMIENTO ESTE DEL MERCADO CENTRAL DE PESCADOS,S/N,MERCAMADRID,2,CHAdeMO,3,
76,,,,,,,,,Dual_Mennekes,,
77,18,VILLA DE VALLECAS,198,CASCO HISTÓRICO DE VALLECAS,CALLE 29,S/N,APARCAMIENTO,1,Other,2,DRIVE THE CITY
