ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR,WIKIDATA_OPERATOR
54,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CALLE 3,S/N,MERCAMADRID,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
54,,,,,,,,,,,Dual_Mennekes,,,
55,3,Retiro,https://wikidata.org/wiki/Q2002296,34,Ibiza,https://wikidata.org/wiki/Q15249910,CALLE IBIZA,1,VÍA PÚBLICA,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
55,,,,,,,,,,,Dual_Mennekes,,,
56,3,Retiro,https://wikidata.org/wiki/Q2002296,35,Jerónimos,https://wikidata.org/wiki/Q10306766,PLAZA DE LA LEALTAD,S/N,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
56,,,,,,,,,,,Dual_Mennekes,,,
57,11,Carabanchel,https://wikidata.org/wiki/Q1001991,116,Buenavista,https://wikidata.org/wiki/Q953929,CALLE HILARIO HERRANZ ESTABLOS,20,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Endesa,https://wikidata.org/wiki/Q1275336
57,,,,,,,,,,,Dual_Mennekes,,,
58,9,Moncloa-Aravaca,https://wikidata.org/wiki/Q2017682,92,Argüelles,https://wikidata.org/wiki/Q64874,CALLE MARQUÉS DE URQUIJO,27,APARCAMIENTO,1,CHAdeMO,3,Endesa,https://wikidata.org/wiki/Q1275336
58,,,,,,,,,,,Dual_Mennekes,,,
59,17,Villaverde,https://wikidata.org/wiki/Q919536,171,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/wiki/Q390435,CALLE VALLE DE TOBALINA,24,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Iberdrola,https://wikidata.org/wiki/Q1437502
59,,,,,,,,,,,Dual_Mennekes,,,
60,6,Tetuán,https://wikidata.org/wiki/Q1773540,62,Cuatro Caminos,https://wikidata.org/wiki/Q5824684,CALLE BRAVO MURILLO,122,APARCAMIENTO,2,CHAdeMO,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
60,,,,,,,,,,,Dual_Mennekes,,,
61,12,Usera,https://wikidata.org/wiki/Q953368,122,Orcasur,https://wikidata.org/wiki/Q10341270,CALLE DE EDUARDO BARREIROS,2,APARCAMIENTO,1,CHAdeMO,3,Endesa,https://wikidata.org/wiki/Q1275336
61,,,,,,,,,,,Dual_Mennekes,,,
62,12,Usera,https://wikidata.org/wiki/Q953368,122,Orcasur,https://wikidata.org/wiki/Q10341270,CARRETERA A-4. P.K. 6.70 D,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
62,,,,,,,,,,,Dual_Mennekes,,,
63,16,Hortaleza,https://wikidata.org/wiki/Q1928529,165,Apóstol Santiago,https://wikidata.org/wiki/Q11906303,AVENIDA DE SAN LUIS,77,APARCAMIENTO,1,CHAdeMO,3,naturgy,https://wikidata.org/wiki/Q474690
63,,,,,,,,,,,Dual_Mennekes,,,
64,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CALLE 29,S/N,APARCAMIENTO,3,CHAdeMO,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
64,,,,,,,,,,,Dual_Mennekes,,,
65,15,Ciudad Lineal,https://wikidata.org/wiki/Q1763694,157,Colina,https://wikidata.org/wiki/Q18475981,CALLE ARTURO SORIA,175,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
65,,,,,,,,,,,Dual_Mennekes,,,
66,15,Ciudad Lineal,https://wikidata.org/wiki/Q1763694,155,San Pascual,https://wikidata.org/wiki/Q165612,CALLE VERDAGUER Y GARCIA,5,APARCAMIENTO,1,CHAdeMO,3,Endesa,https://wikidata.org/wiki/Q1275336
66,,,,,,,,,,,Dual_Mennekes,,,
67,14,Moratalaz,https://wikidata.org/wiki/Q2076109,143,Marroquina,https://wikidata.org/wiki/Q11935636,GLORIETA CORREGIDOR SANCHO DE CÓRDOBA,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
67,,,,,,,,,,,Dual_Mennekes,,,
