tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,PASEO de la Castellana 278 SEGUND ,PASEO,Castellana,278,SEGUND,,28046, ICEX ESPANA EXPORTACION E INVERSIONES,441844,4480778,TODO EL DIA,2017-269
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,AVDA de Asturias 28 BAJA ,AVDA,Asturias,28,BAJA,,28029,"VESTIBULO PRINCIPAL. D.G. VIVIENDA Y REHABILITACION CONSEJERIA TRANSPORTES, VIVIENDA E INFRAESTRUCTURAS",441104,4480078,,2017-291
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Braganza 3 BAJA ,CALLE,Braganza,3,BAJA,,28025,"D.G. VIVIENDA Y REHABILITACION CONSEJERIA TRANSPORTES, VIVIENDA E INFRAESTRUCTURAS",438796,4470696,,2017-292
Centro educativo,Publica,087,Los Molinos,CALLE Calvario 20 BAJA ,CALLE,Calvario,20,BAJA,,28460,HALL DE ACCESO A DESPACHOS DE DIRECCION CEIP DIVINO MAESTRO,408920,4507606,,2017-298
Centro educativo,Publica,075,Loeches,AVDA de Argentina 2  ,AVDA,Argentina,2,,,28890,EN PARED IZQUIERDA DEL HALL PRINCIPAL DE ENTRADA CEIP DUQUE DE ALBA,464903,4469980,,2017-303
Establecimiento dependiente de una Administracion Publica,Publica,049,Coslada,CALLE de Juan de Herrera 2  ,CALLE,Juan de Herrera,2,,,28823,CENTRO DE MAYORES J.L. SAMPEDRO. AYUNTAMIENTO COSLADA EN EL HALL DE ENTRADA,454689,4476954,L A V DE 10 A 21. SY D 10 A 14 Y 16:30 A 20:30,2017-227
Establecimiento dependiente de una Administracion Publica,Publica,049,Coslada,AVDA Francfort 2  ,AVDA,Francfort,2,,,28822,CENTRO DE MAYORES CIUDAD 70. AYUNTAMIENTO COSLADA ENEL HALL DE ENTRADA,454139,4474537,L A V DE 10 A 21 S Y D DE 10 A 14 Y 16:30 A 20:30,2017-229
Centro educativo,Publica,079,Madrid,CTRA de Somontes al Palacio de la Real Quinta 1  ,CTRA,Somontes al Palacio de la Real Quinta,1,,,28048,EN CONSEJERIA A ENTRADA DEL CENTRO JUNTO DESPACHO DUES CPEE LA QUINTA,437448,4484120,,2017-290
Establecimiento dependiente de una Administracion Publica,Publica,152,Torrelodones,PLAZA de la Constitucion 1 BAJA ,PLAZA,Constitucion,1,BAJA,,28250,ALCALDIA AYUNTAMIENTO DE TORRELODONES,421344,4492062,730 A 15,2017-331
Establecimiento dependiente de una Administracion Publica,Publica,152,Torrelodones,PASEO Joaquin Ruiz Gimenez 26  ,PASEO,Joaquin Ruiz Gimenez,26,,,28250,"CAMPO DE FUTBOL MUNICIPAL ""JULIAN ARIZA"". EN SALA DE REUNIONES EDIFICIO VESTUARIOS. AYUNTAMIENTO TORRELODONES",421957,4491745,DURANTE USO DE ACTIVIDAD,2017-332
Instalaciones de transporte,Publica,079,Madrid,PLAZA del Emperador Carlos V 1  ,PLAZA,Emperador Carlos V,1,,,28012,ESTACIONDE ATOCHA. AVE. ZONA EMBARQUE AVE 1ª PLANTA JUNTA ATN. CLIENTE  - ADIF,441376,4473078,0 A 24,2017-343
Instalaciones de transporte,Publica,079,Madrid,CALLE de Agustin de Foxa 46  ,CALLE,Agustin de Foxa,46,,,28036,ESTACIOON RENFE DE CHAMARTIN. VSTIBULO PRINCIPAL JUNTO A ATENCION AL CLIENTE.   ADIF,442188,4480443,0 A 24,2017-344
Otros,Publica,079,Madrid,CALLE de Serrano Galvache 8  ,CALLE,Serrano Galvache,8,,,28033,AL LADO DE LA CENTRALITA INSTITUTO EDUARDO TORROJA,443181,4480270,7-21,2018-154
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Orense 60  ,CALLE,Orense,60,,,28020,"HALL DE ENTRADA. SECRETARIA GENERALTECNICA CONSEJERIA DE TRANSPORTES, VIVIENDA E INFRAESTRUCTURAS",441174,4479054,,2017-294
Establecimiento dependiente de una Administracion Publica,Publica,152,Torrelodones,AVDA de Rosario Manzaneque 1 BAJA ,AVDA,Rosario Manzaneque,1,BAJA,,28250,CASA DE CULTURA AYUNTAMIENTO DE TORRELODONES,419036,4492529,L A S ,2017-333
Establecimiento dependiente de una Administracion Publica,Publica,152,Torrelodones,PLAZA de Jose Maria Unceta 4 BAJA ,PLAZA,Jose Maria Unceta,4,BAJA,,28250,POLIDEPORTIVO MUNICIPAL AYUNTAMIENTO TORRELODONES,420499,4492499,L A V MANANA Y TARDE,2017-334
Establecimiento dependiente de una Administracion Publica,Publica,152,Torrelodones,AVDA de Torrelodones 8 BAJA ,AVDA,Torrelodones,8,BAJA,,28250,TORREFORUM AYUNTAMIENTO DE TORRELODONES,420056,4492221,L A S MANANA Y TARDE,2017-336
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,079,Madrid,CALLE CENTRO DEPORTIVO MUNICIPAL PALOMERAS (2). EN HALL DE ENTRADA 4  ,CALLE,CENTRO DEPORTIVO MUNICIPAL PALOMERAS (2). EN HALL DE ENTRADA,4,,,,AYUNTAMIENTO DE MADRID,446207,4470415,,2018-7
Centro educativo,Publica,005,Alcala de Henares,CALLE Torrelaguna 29  ,CALLE,Torrelaguna,29,,,28806,<EN HALL DEL COLEGIO JUNTO A CONSERJERIA CEIP GARCIA LORCA,468344,4482055,9-18,2018-87
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,"CALLE km 7,5. EDIFICIO PRINCIPAL INIA  2ª ",CALLE,"km 7,5. EDIFICIO PRINCIPAL INIA",,2ª,,,INSTITUTO NCANL INVESTIG. Y TECNOLOGL AGRARIA Y ALIMENTARIA,436395,4478535,,2018-137
Centro educativo,Publica,005,Alcala de Henares,CALLE Luis de Medina 12  ,CALLE,Luis de Medina,12,,,28805,UBICADO EN VESTIBULO JUNTO A HALL DE ENTRADA PRINCIPAL COLEGIO LOPE DE VEGA,469745,4482227,,2017-282
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,127,Las Rozas de Madrid,CALLE Comunidad de La Rioja 4  ,CALLE,Comunidad de La Rioja,4,,,28231,EN EL SERVICIO MEDICO DEL POLIDEPORTIVO MUNICIPAL ALFREDO ESPINIELLA.  AYUNTAMIENTO DE LAS ROZAS,425230,4482708,8 A 22,2017-353
